Student Number,Female,socioeconomicstrata_round1,children5years_r1,everhadsex_r1,howmanysexpartners_r1,usedrythm_pregn_r1,usedpill_pregn_r1,usedinjection_pregn_r1,usedIUD_pregn_r1,usedcondom_pregn_r1,usedwithdraw_pregn_r1,usedemergency_pregn_r1,usedother_pregn_r1,rythmsafest_pregnancy_r1,pillsafest_pregnancy_r1,injectionsafest_pregnancy_r1,hygienesafest_pregnancy_r1,condomsafest_pregnancy_r1,withdrawalsafest_pregnancy_r1,emergencypsafest_pregnancy_r1,abstinencesafest_pregnancy_r1,other_pregnancy_r1,whichone_pregnancy_r1,dontknow_pregnancy_r1,peopleathome_r1,motherliveathome_r1,educationmother_r1,fatherliveathome_r1,educationfather_r1,whichone1_r1
0,Male,2,Yes,Yes,2-5 people,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,University,Yes,Elementary School,PASTILLAS ANTICONCEPTIVAS
1,Male,I don't know,I don't know,No,I don't know,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,7,Yes,No answer,Yes,High School,CONDON
2,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,4,Yes,High School,No,High School,METODOS ANTICONCEPTIVOS
4,Female,1,No,Yes,1 person,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,LAS PASTILLAS,No,5,Invalid answer,Elementary School,Invalid answer,Elementary School,PASTILLAS ANTICONCEPTIVAS
5,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,,No,8,Yes,Elementary School,Is dead,High School,CONDON
7,Male,No answer,No,Yes,More than 10 people,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,,No,0,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
8,Female,1,I don't know,Yes,1 person,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,,No,9,Yes,Elementary School,Yes,Elementary School,INYECCION
9,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,,No,6,Yes,High School,I don't have any,No answer,CONDON
10,Male,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Yes,High School,CONDON
11,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Yes,Elementary School,CONDON
12,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,11,Yes,High School,No,College,INYECCION
13,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,University,Yes,High School,CONDON
14,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,12,Yes,University,No,High School,CONDON
15,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,College,Yes,College,CONDON
16,Female,I don't know,I don't know,No answer,No answer,No,No,No,No,No,No,No,Invalid answer,No,No,No,No,No,No,No,No,No,,Yes,7,Yes,High School,Yes,High School,DISPOSITIVO INTRAUTERINO
17,Male,I don't know,Yes,No,For the last six months I have not had sexual relations,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,5,Yes,No answer,Yes,No answer,CONDON
18,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,,No,4,Yes,High School,Yes,High School,ABSTENCION
19,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,4,Yes,Elementary School,Yes,Elementary School,METODOS ANTICONCEPTIVOS
20,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,8,Yes,Postgraduate,Yes,Postgraduate,ABSTENCION
21,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,Elementary School,CONDON
